ISO,continents,fao_regions,Year,FRA_forest_area_km2,WDI_land_surface_km2,Bonannella_land_surface_km2_6classes,Bonannella_land_surface_km2_20classes
GBR,Europe,Europe,2015,31550,241930,224182.9403,224182.9403
ISL,Europe,Europe,2015,481.6,100250,82572.70378,82572.70378
AZE,Asia,Western and Central Asia,2015,10994.5,82663,87418.35571,87418.35571
GEO,Europe,Europe,2015,28943.7,69490,67308.95285,67308.95285
PHL,Asia,South and Southeast Asia,2015,73797,298170,249778.4175,249778.4175
MYS,Asia,South and Southeast Asia,2015,211722.2,328550,322578.7113,322578.7113
BRN,Asia,South and Southeast Asia,2015,3800,5270,7955.773289,7955.773289
SVN,Europe,Europe,2015,12480,20142.6,19078.54755,19078.54755
FIN,Europe,Europe,2015,224426.1,303910,303807.3839,303807.3839
SVK,Europe,Europe,2015,19304.3,48082,46830.53469,46830.53469
CZE,Europe,Europe,2015,26684,77210,80627.56127,80627.56127
ERI,Africa,Eastern and Southern Africa,2015,10856.6,121088.775,117430.781,117430.781
JPN,Asia,East Asia,2015,249440,364500,345725.2049,345725.2049
PRY,South America,South America,2015,175974.7,397300,397100.1402,397100.1402
YEM,Asia,Western and Central Asia,2015,5490,527970,448843.0375,448843.0375
SAU,Asia,Western and Central Asia,2015,9770,2149690,1913785.684,1913785.684
CYN,Europe,Europe,,,,3291.995691,3291.995691
CYP,Asia,Western and Central Asia,2015,1727.1,9240,5506.78972,5506.78972
MAR,Africa,Northern Africa,2015,62611.9,446300,577323.5621,577323.5621
EGY,Africa,Northern Africa,2015,484.2,995450,980297.4007,980297.4007
LBY,Africa,Northern Africa,2015,4340,1759540,1630353.493,1630353.493
ETH,Africa,Eastern and Southern Africa,2015,182111,1128539.353,1124948.239,1124948.239
DJI,Africa,Eastern and Southern Africa,2015,56,23180,21125.16049,21125.16049
UGA,Africa,Eastern and Southern Africa,2015,29601.3,200520,207576.1984,207576.1984
RWA,Africa,Eastern and Southern Africa,2015,4140,24670,22729.37639,22729.37639
BIH,Europe,Europe,2015,21605,51200,50366.55097,50366.55097
MKD,Europe,Europe,2015,0,25220,24606.05269,24606.05269
SRB,Europe,Europe,2015,27437.1,87460,75701.50543,75701.50543
MNE,Europe,Europe,2015,8350,13450,13058.08572,13058.08572
XKX,Europe,Europe,,,,11210.90256,11210.90256
TTO,North and Central America,Central America,2015,2902.9,5130,4783.856793,4783.856793
SSD,Africa,Eastern and Southern Africa,2015,73449,631930,623018.26,623018.26
